City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,kapa'a,22.0752,-159.319,27.18,61,0,6.17,US,1705632745
186,east london,-33.0153,27.9116,17.63,69,18,2.79,ZA,1705632745
187,hammerfest,70.6634,23.6821,-12.75,66,0,2.06,NO,1705632746
188,kenora,49.8167,-94.4337,-21.24,77,75,2.57,CA,1705632747
189,cill airne,52.05,-9.5167,-0.65,78,3,1.7,IE,1705632747
190,harsud,22.1,76.7333,16.19,37,24,4.57,IN,1705632748
191,vorgashor,67.5833,63.95,-13.97,94,99,6.76,RU,1705632748
192,acarau,-2.8856,-40.12,26.0,82,2,4.36,BR,1705632749
193,rio grande,-32.035,-52.0986,23.67,92,100,7.35,BR,1705632729
194,tocopilla,-22.092,-70.1979,21.56,81,79,0.74,CL,1705632751
195,susuman,62.7833,148.1667,-33.9,98,99,0.45,RU,1705632752
196,vadso,70.0744,29.7487,-8.91,79,100,2.06,NO,1705632752
197,manzini,-26.25,31.5,15.83,76,100,3.63,SZ,1705632753
198,fort bragg,35.139,-79.006,7.75,71,100,0.0,US,1705632754
199,polyarnyy,69.1989,33.4478,-18.25,100,100,1.04,RU,1705632754
200,nuuk,64.1835,-51.7216,-12.23,79,95,3.64,GL,1705632755
201,lamu,-2.2717,40.902,24.12,85,100,4.37,KE,1705632756
202,veraval,20.9,70.3667,20.58,51,1,4.87,IN,1705632756
203,qarqaraly,49.4058,75.4742,-17.59,68,100,2.54,KZ,1705632757
204,whitehorse,60.7161,-135.0538,-20.57,77,20,2.57,CA,1705632758
205,kristiansund,63.1115,7.732,-0.97,86,100,4.63,NO,1705632758
206,alaghsas,17.0187,8.0168,17.26,13,0,5.35,NE,1705632759
207,boguchany,58.3814,97.4531,-27.86,100,100,0.45,RU,1705632760
208,kabare,-2.4683,28.8242,16.14,92,100,0.88,CD,1705632760
209,belmonte,-15.8631,-38.8828,25.27,88,7,3.25,BR,1705632761
210,lensk,60.7253,114.9278,-30.31,97,92,1.95,RU,1705632761
211,gusev,54.5922,22.1997,-5.82,91,13,5.32,RU,1705632762
212,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,94,75,5.81,RU,1705632763
213,northam,51.0333,-4.2167,1.6,72,6,1.59,GB,1705632763
214,tromso,69.6496,18.957,-13.99,85,55,2.06,NO,1705632764
215,kununurra,-15.7667,128.7333,29.99,79,100,0.51,AU,1705632765
216,sarupathar,26.1984,93.8094,17.1,63,0,0.85,IN,1705632765
217,saipan,15.1355,145.701,26.39,73,75,6.69,MP,1705632766
218,shenjiamen,29.9576,122.298,10.93,95,100,3.86,CN,1705632767
219,tsiombe,-25.3,45.4833,23.87,86,84,3.02,MG,1705632767
220,revda,56.801,59.9303,-21.07,99,71,1.7,RU,1705632768
221,colonia,50.9333,6.95,-1.76,100,75,1.54,DE,1705632601
222,abepura,-2.6333,140.5833,31.45,66,20,1.54,ID,1705632770
223,quimili,-27.6333,-62.4167,28.66,46,85,5.35,AR,1705632770
224,jamestown,42.097,-79.2353,-4.23,74,100,3.09,US,1705632759
225,severo-yeniseyskiy,60.3725,93.0408,-24.68,100,100,1.34,RU,1705632772
226,pimentel,-6.8367,-79.9342,24.16,78,100,8.23,PE,1705632772
227,enewetak,11.3474,162.3373,26.28,73,98,11.26,MH,1705632773
228,san luis de la loma,17.2706,-100.8939,26.21,67,100,3.06,MX,1705632774
229,punta del este,-34.9667,-54.95,23.31,94,100,3.6,UY,1705632705
230,kourou,5.1552,-52.6478,27.03,89,22,5.21,GF,1705632775
231,hailar,49.2,119.7,-27.87,96,87,1.82,CN,1705632776
232,pico truncado,-46.7949,-67.9573,16.39,37,86,9.97,AR,1705632501
233,concepcion,-36.827,-73.0498,14.89,67,0,6.17,CL,1705632689
234,gummi,12.1436,5.1081,18.34,16,0,4.3,NG,1705632778
235,baker city,44.7749,-117.8344,5.36,88,100,0.0,US,1705632778
236,zemio,5.0314,25.1361,18.75,26,74,1.55,CF,1705632779
237,palmer,42.1584,-72.3287,-3.35,75,100,2.57,US,1705632780
238,broome,42.2506,-75.833,-4.65,79,100,2.06,US,1705632780
239,dali,25.7,100.1833,9.93,39,0,1.79,CN,1705632781
240,nouadhibou,20.931,-17.0347,18.99,88,20,9.26,MR,1705632782
241,pitanga,-24.7572,-51.7614,20.24,92,95,1.17,BR,1705632782
242,orange walk,17.8333,-88.8333,22.15,98,59,1.17,BZ,1705632783
243,cuito,-12.3833,16.9333,12.86,73,78,2.31,AO,1705632784
244,iskateley,67.6803,53.1512,-15.55,91,92,8.05,RU,1705632785
245,mount isa,-20.7333,139.5,26.87,94,100,5.14,AU,1705632785
246,al mijlad,11.0333,27.7333,14.99,19,82,5.51,SD,1705632786
247,lata,40.1629,-8.3327,10.6,96,100,3.63,PT,1705632787
248,port-gentil,-0.7193,8.7815,27.39,81,81,4.31,GA,1705632788
249,holualoa,19.6228,-155.9522,25.7,73,20,4.12,US,1705632788
250,uturoa,-16.7333,-151.4333,27.83,75,52,4.38,PF,1705632789
251,tidjikja,18.5564,-11.4271,20.47,10,0,5.32,MR,1705632790
252,saldanha,-33.0117,17.9442,23.03,63,7,3.22,ZA,1705632791
253,pauini,-7.7136,-66.9764,23.08,99,97,0.46,BR,1705632792
254,tshikapa,-6.4167,20.8,21.53,80,100,0.88,CD,1705632792
255,bushehr,28.9684,50.8385,15.05,82,0,2.06,IR,1705632793
256,riberalta,-10.9833,-66.1,23.6,94,93,1.06,BO,1705632793
257,ceeldheer,3.8488,47.1806,24.59,79,0,7.28,SO,1705632794
258,crane,31.3974,-102.3501,14.78,34,0,2.88,US,1705632795
259,serenje,-13.2325,30.2352,15.98,98,99,3.48,ZM,1705632796
260,lihue,21.9789,-159.3672,26.77,61,0,6.17,US,1705632797
261,frolovo,49.7713,43.6622,0.77,80,100,8.31,RU,1705632798
262,port lincoln,-34.7333,135.8667,20.95,58,95,4.02,AU,1705632799
263,soio,-6.1349,12.3689,26.11,80,16,3.53,AO,1705632799
